제목,저자,역자,출간일,페이지수,판매가
"IT CookBook, 소프트웨어 공학 이론과 실제",홍장의,-,2023-01-02,528,"33,000"
공학도라면 반드시 알아야 할 최소한의 수학(8판),John Bird,이재원,2023-01-02,432,"25,000"
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",이영주,-,2023-01-02,512,"30,000"
"STEM CookBook, 공학 기초수학(2판)",함남우,-,2023-01-02,484,"22,000"
"STEM CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer, E. Russell Johnston, Jr., John T. DeWolf, David F. Mazurek","김경식, 박재균, 오창국, 이정휘",2023-01-02,772,"39,000"
STEIN 푸리에 해석학,"ELIAS M. STEIN, RAMI SHAKARCHI","한빛수학교재연구소, 이상혁(감수)",2023-01-02,348,"38,000"
미분적분학 : 기초부터 응용까지,수학교재편찬위원회,-,2023-01-02,680,"35,000"
인공지능 시대의 문화기술,"두일철, 오세종",-,2023-01-02,444,"22,000"
재무회계 with IFRS,"Jerry Weygandt, Paul Kimmel, Don Kieso",윤현철,2023-01-02,784,"44,000"
상법강의,서성호,-,2023-01-02,748,"45,000"
소비자 행동론 제 13판,Michael R. Solomon,"황장선, 이지은, 전승우, 최자영",2023-01-02,632,"39,000"
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,-,2023-01-02,432,"25,000"
STEIN 복소해석학,"ELIAS M. STEIN, RAMI SHAKARCHI","김영원(감수), 한빛수학교재연구소",2023-01-02,420,"36,000"
운영관리(13판),"Jay Heizer, Barry Render, Chuck Munson","김민균, 김상기, 박상찬, 최대헌",2023-01-02,936,"42,000"
"STEM CookBook, 문제 해결력을 키우는 동역학","유봉조, 박경수",-,2023-01-02,456,"32,000"
"IT CookBook, 디지털 신호 처리(2판)",이철희,-,2023-01-02,668,"33,000"
조직행동론(3판),Angelo Kinicki,김안드레아,2023-01-02,784,"38,000"
ISE Business Statistics: Communicating with Numbers [4th Edition],"Sanjiv Jaggia, Alison Kelly",-,2023-01-02,800,"50,000"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)","우재남, 박길식",-,2023-01-02,580,"33,000"
"IT CookBook, 원리로 이해하는 무선공학",홍익표,-,2023-01-02,624,"32,000"
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",박장환,-,2023-01-02,380,"28,000"
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로,-,2023-01-02,500,"29,000"
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로,-,2023-01-02,448,"29,000"
"IT CookBook, 데이터베이스 개론(3판)",김연희,-,2023-01-02,552,"29,000"
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호, 임석구",-,2023-01-02,468,"25,000"
"IT CookBook, 디지털 논리회로(4판)","임석구, 홍경호",-,2023-01-02,816,"32,000"
공학도를 위한 수치해석(8판),"Steven C.Chapra, Raymond P. Canale","나양, 이승배, 임윤철",2023-01-02,600,"36,000"
"Case, Fair, Oster의 경제학원론","Karl E. Case, Ray C. Fair, Sharon M. Oster","박원규, 이상규",2023-01-02,800,"39,000"
"IT CookBook, C 언어 for Beginner 4판",우재남,-,2023-01-02,536,"26,000"
"IT CookBook, 가상현실의 이해",송은지,-,2023-01-02,288,"22,000"
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,-,2023-01-02,540,"25,000"
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,-,2023-01-02,508,"30,000"
"IT CookBook, 엑셀과 파워포인트 2019",김지연,-,2023-01-02,548,"23,000"
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,-,2023-01-02,512,"27,000"
"IT CookBook, 파이썬 for Beginner(3판)",우재남,-,2023-01-02,524,"25,000"
기본 재무관리(제5판),"Jonathan Berk, Peter DeMarzo, Jarrad Harford","선정훈, 고광수, 변진호",2023-01-02,912,"42,000"
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,"노희준, 박종태, 박한길, 신정규",2023-01-02,732,"42,000"
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,-,2023-01-02,652,"29,000"
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),-,2023-01-02,556,"26,000"
온톨로지 과학자를 위한 지식그래프,"딘 알레망, 제임스 핸들러, 파비엔 갠던",김학래,2023-01-02,544,"45,000"
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,-,2023-01-02,552,"28,000"
한번에 적용하는 분석,히든그레이스 데이터분석팀,-,2023-01-02,356,"24,000"
인공지능 논리 입문,이은정,-,2023-01-02,260,"22,000"
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁, 박숭규",-,2023-01-02,328,"24,000"
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,"김윤, 김혁, 박동욱",2023-01-02,688,"35,000"
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규, 박유현",-,2023-01-02,660,"30,000"
미래조직을 위한 조직설계의 이해(4판),"현선해, 최세경, 서문교",-,2023-01-02,292,"22,000"
쉽게 배우고 익히는 회계원리(4판),"정용기, 김선미, 임영제, 신영직, 유지선",-,2023-01-02,568,"30,000"
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기, 김선미, 임영제, 신영직, 유지선",-,2023-01-02,160,"7,000"
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,-,2023-01-02,472,"27,000"
데이터베이스 시스템(7판),"Abraham Silberschatz, Henry F. Korth, S. Sudarshan","정연돈, 권준호, 김종욱, 서영균, 이동호",2023-01-02,1248,"45,000"
비즈니스 애널리틱스,"Sanjiv Jaggia, Alison Kelly, Kevin Lertwachara, Leida Chen","장혜정, 이상규, 오세환, 변종복",2023-01-02,704,"38,000"
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,-,2023-01-02,460,"30,000"
최신 관리회계,"정재권, 서한결, 곽종민",-,2023-01-02,460,"28,000"
"IT CookBook, 처음 만나는 회로이론(2판)",방성완,-,2023-01-02,400,"23,000"
안전필수 시스템 제어 설계,"김국헌, 김태효, 이성섭",-,2023-01-02,488,"38,000"
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영,-,2023-01-02,624,"29,000"
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은,-,2023-01-02,548,"30,000"
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수,-,2023-01-02,560,"30,000"
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍,-,2023-01-02,580,"29,000"
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남, 최민아",-,2023-01-02,428,"24,000"
"IT CookBook, 정보 보안 개론(4판)",양대일,-,2023-01-02,568,"30,000"
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태, 정윤수, 박길철",-,2023-01-02,472,"24,000"
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh,한빛수학교재연구소,2023-01-02,580,"32,000"
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott),"한빛수학교재연구소, 김세익(감수)",2023-01-02,384,"26,000"
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM,허경용,2023-01-02,480,"32,000"
"IT CookBook, 난생처음 인공지능 입문",서지영,-,2023-01-02,428,"25,000"
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭, 김정욱",-,2023-01-02,288,"20,000"
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동), 강민범",-,2023-01-02,416,"22,000"
"STEM CookBook, 기초 선형대수학(2판)","이광연, 설한국, 김진수",-,2023-01-02,440,"26,000"
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철, 이광연, 박기섭",-,2023-01-02,448,"25,000"
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연,-,2023-01-02,432,"24,000"
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희, 김혜란",-,2023-01-02,572,"25,000"
누워서 읽는 통계학,"와쿠이 요시유키, 와쿠이 사다미",권기태,2023-01-02,388,"19,800"
만만한 통계 : R 활용,"닐 J. 샐카인드, 레슬리 A. 쇼",김재경,2023-01-02,500,"28,000"
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈,-,2023-01-02,512,"27,000"
한글처럼 쉬운 중국어,"김원재, 강은주",-,2023-01-02,156,"18,000"
회계원리,"이기호, 이정엽, 전홍준",-,2023-01-02,332,"23,000"
알기쉬운 회계원리의 기초(3판),"김혁, 윤승준, 이원강",-,2023-01-02,404,"26,000"
최신 원가회계,"정재권, 서한결, 곽종민",-,2023-01-02,444,"28,000"
"IT CookBook, C 언어 일취월장(2판)",신윤환,-,2023-01-02,800,"28,000"
소비자행동,김학윤,-,2023-01-02,660,"35,000"
"Numerical Methods for Engineers, 8th Edition","Steven Chapra, Raymond Canale",-,2023-01-02,1008,"45,000"
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)","박우창, 남송휘, 이현룡",-,2023-01-02,604,"29,000"
"IT CookBook, 손에 잡히는 데이터 통신",임석구,-,2023-01-02,572,"29,000"
"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",우재남,-,2023-01-02,520,"27,000"
"STEM CookBook, 대학물리학(5판)",Alan Giambattista,김용은 외,2023-01-02,1464,"43,000"
"STEM CookBook, 재료역학(2판)","Anthony Bedford, Kenneth M. Liechti","정광영, 김형종, 마정범, 최정호, 홍석무",2023-01-02,840,"38,000"
창업을 디자인하라(2판),유순근,-,2023-01-02,505,"29,000"
"IT CookBook, 디지털 회로 실험 with PSpice",홍순관,-,2023-01-02,396,"22,000"
데이터 과학을 위한 기초수학 with 파이썬,이병준,-,2023-01-02,448,"26,000"
미분적분학 : 대학수학의 첫걸음,수학교재편찬위원회,-,2023-01-02,620,"28,000"
제대로 시작하는 기초 통계학 : Excel 활용 (2판),노경섭,-,2023-01-02,364,"25,000"
친절한 미분적분학,"캐럴 애시, 로버트 B. 애시","김광수, 한빛수학교재연구소",2023-01-02,688,"32,000"
