plylstSeq,title,tag,like,songIds
508925965,드라이브 하면서 듣기 좋은 갬성 ‘시티팝’, #시티팝 #감성 #드라이브 #오후 #레트로 #시티 #도시 #가을 ,164,36447716 35844830 33596802 33427502 35717743 35483932 35360311 35585796 35379873 32490617 36027203 35508609 31779383 34528640 35271869 33794231 32799149 32414440 32633600 33092894 30414762 34788904 34200454 31711427 32860941 32957209 31310474 31736487 34584701 33054814 32860397 32725022 32590562 31925785 34760663 32766837 32556391 34997201 32524503 33129887 32066026 32799195 32604278 31274129 33044269 32205771 31062900 31846776 32767806 31271993
500739874,"밤에 찬찬히 산책을 즐기며, 듣기 좋은 힐링 감성팝", #산책 #감성 #힐링 #밤 #분위기 #차분한 #쌀쌀한 #가을 #팝 #Pop ,336,33929842 35408192 34025869 34087703 33488755 34664624 34859388 36437182 36414380 35631142 33124199 32012942 34086724 35683938 33769108 30633961 34091230 36238537 32947619 30464266 36367656 36439406 32407913 36114901 34056635 33358716 33909618 36375238 36467676 34041472 33259862 33293255 35542969 36387526 34037685 36317679 36387163 33825317 35866582 34087841 36137746 33511893 33442609 33550100 35816677 34241850 33769104 32956486 32771391 35859931
515267710,별이 빛나는 가을밤의 트렌디한 드라이브 POP, #드라이브 #한강 #리프레쉬 #가을 #기분전환 #스트레스 #트렌디 #밤 #감성 #Pop ,755,34986990 35749758 34853277 35705025 35656237 35709960 35843975 35340833 35505711 35689856 35697693 34992357 35612397 35635362 35024025 35510778 35639624 35640751 35698648 35439262 32246557 35490004 35546506 34724409 35656243 35658770 35651244 35545259 33359316 35698634 34831817 33583065 32342063 34883791 35639619 35565014 35634268 33560827 35545258 35327795 35776675
433632260,아침에 챙겨듣는 보약같은 연주곡, #아침 #뉴에이지 #출근길 #지하철 #버스 #새벽 #휴식 #기분전환 #감성 #가을 ,96,8214521 4021857 9607854 30094226 4671437 30286079 8062170 3727562 4132484 8053419 30211048 30376223 30319982 30293359 2668348 8020253 2508678 5719269 2213073 5751694 30278520 4117019 4712485 2707241 1525557 3655594 5574560 1869050 4084697 3911978 2177568
433939049,산책길에 듣는 편안한 감성 뉴에이지, #산책 #바람 #공원 #외로움 #카페 #가을 #매장 #오후 #감성 #뉴에이지 ,42,30625836 8026113 30019079 358238 30615927 30574853 30457833 30286079 30618044 30438084 5574560 30613075 8049762 30243234 30574249 30291154 30043277 1705657 3657494 2642762 358125 3885084 2622168 5057112 3897860 3811079 5506333 5719269 1525557
429597019,들으면 기분 좋아지는 연주곡, #행복 #아침 #뉴에이지 #선선한 #가을 #공부 #북카페 #출근길 #위로 #카페 ,187,4104857 8026107 4106217 9628260 9608202 8300091 9648216 8298614 30232008 5668518 8208267 4482964 5659347 8195332 3782240 4320750 8077041 355709 5768893 1908229 2237151 5788557 1267126 1627851 7857081 1859741 7939316 1705651 461156 5788555
422463961,빗소리와 완벽궁합의 힐링 뉴에이지, #가을 #뉴에이지 #빗소리 #힐링 ,38,8294284 8297764 9604120 4746428 9605581 4170237 7997098 9627264 5718650 8174755 8025485 8058549 8268925 8070707 9637899 8300094 7998989 8020253 9628263 4433068 9608199 3702066 8022070 8160522 8005697 5480252 5500606 729875 8050129 1908229 4840686 2642766 1093974 6680 8133327 5480251 3774420 2945882 3776118 7987135
503332905,공허한 도시의 하늘을 보랏빛으로 물들이는 감성 시티팝 ✧˳⁺⁎, #감성 #드라이브 #기분전환 #휴식 #힐링 #새벽 #센치한 #출퇴근 #가을 #신나는 ,3645,36304565 32725022 32583249 32320354 31636901 32076087 31216550 33746403 31867979 32906874 33794231 32775794 32799148 32633600 31258251 33119340 31779383 32477434 32633936 32054289 33596802 32860397 34978551 33372781 32420829 32129727 36387522 33923960 32829666 32977050 33453387 33421865 35221708 32970117 33675500 31286163 32647858 34528640 34216321 32767815 2609699 31590338 35059937 32799195 30102717 31846776 32128222 32414440 32651674 32237432
524903224,{PLAYLIST} '가을'과 관련된 곡, #가을 #감성적인 #팝송 ,9,2064849 4446485 30514366 35383398 33043504 4848555 33955533 30636089 4369827 34431086 30314784 33061995 35779712 35730563 33064355 32511833 34626109 31688205 34657844 7877917 32061975 31666417 34943312
515914344,널 떠올리는 중이야 : 가을 감성힙합/R&B, #가을 #가을감성 #감성힙합 #그리움 #추억 #이별 #사랑 #미련 #잔잔한 #센치한 ,339,33542479 35707666 35708235 31521709 33722789 35542812 32325552 32040674 35197792 35268789 31441819 35057041 31883723 31861769
483086564,90년대생들 미치게 할 추억의 2000-10' 발라드, #발라드 #추억 #회상 #가요 #2000년대 #2010년대 #가을 #감성 #새벽감성 #밤 ,4985,1563237 104788 2289924 1746411 732373 2949854 1467722 3436083 2119816 623902 2289927 3910821 538118 1884329 2654264 534252 2347151 2549955 2101157 1778667 3585793 4543502 1264830 1798588 445413 527016 4009738 2140853 1068643 2180148 2101367 711626 473438 313555 485716 851748 978136 487301 1560045 1095261 732512 1108584 4016085 1901874 1944399 418598 531431 519620 432309 420534
499502605,잠 안 오는 새벽마다 꺼내 듣는 슬픈 POP, #위로 #휴식 #잔잔한 #감성 #힐링 #흐린날 #새벽 #가을 #밤 #센치한 ,2474,31337978 32780369 30059615 31773520 31750133 33960906 31428178 32124677 33682061 35406467 33132408 32996624 31608685 8016327 30895277 32598681 32441419 32200054 8111874 31597930 4225816 32118105 7931262 31553753 33663414 31127353 30111857 33162580 7962694 35409324 32006704 33348570 32040787 33614059 31978075 34084963 4699121 31411041 33028103 33124197 30835294 4781077 33366428 31906832 33014783 8028187 35565219 33079190 32392756 31963101
509936150,가슴 아릿해지는 사극풍 발라드 Playlist, #사극 #애절한 #발라드 #과몰입 #아련한 #가을 #슬픈 #감수성 #그리움 #비오는날 ,1808,848567 33878014 3775574 30437557 30006387 33468286 3788313 3391292 33727362 1884223 33858614 30399467 33448177 524216 1569356 1798753 34874817 32130395 32061973 7857094 30672393 33136303 30654620 35014542 2804028 2539090 852089 30524268 32945414 30019224 2138250 5442775 2720478 3992536 33979587 32075428 4733733 4843046 1476571 30299276 31213910 32420422 30008427 4144504 4042365 7877288 621079 81799 1671661 33305505
499356701,오래오래 듣고 싶은 짙은 가을 감성 발라드, #발라드 #추억 #드라이브 #가을감성 #선선한 #가을 #쌀쌀한 #애절 #가을밤 #외출 ,2560,36100714 31388145 32318763 32082258 30669593 5398990 1560045 5458267 31373277 32091434 30048640 2140950 32924578 4646573 7926120 30859640 32052432 32399019 3968836 3940684 2347156 32073454 32974275 33618864 34097306 30072072 7953962 3922575 5408681 30461396 3910821 2289926 31967064 638570 30651723 7921208 32031043 32135659 32298623 30623495 30636089 33016550 35662924 31314142 5439395 31363346 827216 30699142 33516934 30672529
514011576,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ", #감성 #ISFJ #mbti #가을 #선선한 #잔잔한 #센치한 #힐링 #산책 #팝 ,948,34715679 36150710 31549965 34979545 35676709 35631142 34992362 34978208 36287603 35536097 34635661 35553895 34875520 34757123 33015138 34886814 36096090 35020520 35327798 35676710 34794146 35280317 34870670 33382921 36007967 35705028 35653843 34859044 34773284 36290570 34819615 33608104 34319891 35406467 34967607 35416941 35835514 36262683 35617138 34319894 35463776 35557581 35694974 36062053 35536104 34904284 34794138 34574423 33132408 34874228
435757143,마음 속 잔잔한 여운을 남기는 피아노 팝 발라드, #팝 #발라드 #피아노 #가을 #겨울 #감성 #밤 #쓸쓸 #잔잔한 ,12579,34091230 35574279 35882093 35799114 36096090 35765030 33715344 34009584 35705028 35645127 35702041 35206508 35218610 35220942 35155037 34623694 34087703 32493312 33743308 34038934 11709515 31866855 33816658 437911 30696580 3143275 33541844 34025869 33722732 34289622 33716174 33458267 33659005 33545918 32813194 30733777 33484807 33432848 33324328 1922885 33133807 8300117 32766901 32104269 5684330 33028101 32864887 33183976 3602098 30997705
426571097,늦은 밤에 혼자 듣기 좋은 발라드 노래, #가을 #발라드 #밤 #새벽 #감성 #잔잔한 #새벽감성 #휴식 #가을감성 ,6919,34944250 34190822 19807 34569071 833034 5458267 4543502 851364 30314784 32573341 3815039 418253 111209 30672529 4200513 34466940 8302 30290580 32143487 5576417 30011624 8203900 30492279 30383758 30120986 5578569 32450261 32461339 30890388 32156286 3910821 421409 32906021 3765856 5639931 32979576 30775077 31565593 32653089 30550388 31706215 31984204 32993708 32974275 5439395 1046278 31417922 1890405 7857091 32577266
422704801,가을이 오면 생각나는 감성 노래 모음, #가을 #감성 #쓸쓸 #바람 #외로움 #가을감성 #선선한 #쌀쌀한 #슬픔 #발라드 ,13327,33772329 31524320 30669593 30672529 30962526 30709103 4383833 5398990 4543502 3910821 3953192 30690946 31388145 32031043 33955533 5408681 4252728 4743560 1698475 30072072 30667988 32226962 31455159 32156286 33013877 30038185 5610945 5439395 7886210 3968836 4367874 3585793 30486509 3550136 30651723 638570 30011624 9631530 31373277 33979638 33008836 32168238 33507462 32028531 30035553 30859636 30702937 7858989 4038239 3906383
509072118,스트레스 해소! 속이 뻥 뚫리는 자유로운 분위기의 Drive Music, #드라이브 #신나는 #기분전환 #감성 #스트레스 #출퇴근 #외출 #가을 #휴식 #힐링 ,793,3835681 30645527 36441928 32962528 4066039 8287788 1721587 8111603 31371068 32934672 8075467 2560877 33642652 31090508 4305220 384626 2386148 7931319 4204343 3036572 2286749 4281802 33274018 30227238 30139546 33077170 33375439 2272731 290508 3176875 3835593 34401827 31773692 30521414 5490888 31759422 34246831 4857978 31824500 32155321 24817212 32068752 30473255 3835596 32646574 3421128 3904560 4710904 32523313 4316605
