대학교,주소
아주대학교,경기도 수원시 영통구 월드컵로 199 (원천동)
동남보건대학,경기도 수원시 장안구 천천로74번길 50 (정자동)
수원 경기대학교,경기도 수원시 영통구 광교산로 154-42 (이의동)
수원 성균관대학교,경기도 수원시 장안구 서부로 2066 (천천동)
수원여자대학,경기도 수원시 권선구 온정로 72 (오목천동)
용인 경희대학교,경기도 용인시 기흥구 덕영대로 1732 (서천동)
수원과학대학,경기도 화성시 정남면 세자로 288
수원대학교,경기도 화성시 봉담읍 와우안길 17
